,ID,Recency,Frequency,Monetary,RFM,Segment,BMI,Income,Ethnicity,Lifestage,Strata,Members,Loc
310,152015101,103.97459931939349,95,52.296842105263174,333.0,Loyalists,Over Weight,1500 - 1999,Malay,Matured Families,Urban,1-3,North
311,152023101,87.81400108459273,156,53.55512820512822,443.0,Best customers,Over Weight,4000 - 4999,Malay,Empty Nesters,Rural,1-3,North
312,152046101,85.20779609353276,150,30.934666666666672,441.0,Low-Spending Loyalists,Healthy,3000 - 3999,Malay,Teens Aches,Rural,4,North
313,152048101,271.7298355537924,73,41.09452054794522,222.0,At-Risk,Obese,4000 - 4999,Malay,Teens and Toddlers,Rural,5,North
314,152071101,164.90095065367748,115,17.067826086956522,231.0,Churned,Obese,< 1500,Malay,Empty Nesters,Rural,1-3,North
315,152074101,87.81400108459273,126,69.64285714285708,444.0,Best customers,Under Weight,>5000,Chinese,Matured Families,Rural,1-3,North
316,152077101,103.35448289491322,85,31.10470588235296,331.0,Potential Loyalists,Healthy,1500 - 1999,Malay,Teens Aches,Rural,4,North
317,152079101,108.84994643050558,150,52.224,243.0,Potential Loyalists,Healthy,3000 - 3999,Malay,Teens Aches,Rural,5,North
318,153015101,82.88579638629777,156,40.88076923076924,442.0,Low-Spending Loyalists,Healthy,>5000,Malay,Teens Aches,Rural,7+,North
319,156005101,87.81400108459273,134,32.543283582089565,442.0,Low-Spending Loyalists,Healthy,1500 - 1999,Chinese,Matured Families,Urban,5,North
320,156009101,92.24360455365657,150,20.85000000000001,341.0,Low-Spending Loyalists,Healthy,< 1500,Chinese,Empty Nesters,Urban,1-3,North
321,156011101,82.88579638629777,101,13.810891089108916,431.0,Low-Spending Loyalists,Healthy,2000 - 2999,Chinese,Empty Nesters,Urban,1-3,North
322,156015101,113.3237900460987,155,17.78774193548386,241.0,At-Risk,Healthy,< 1500,Malay,Empty Nesters,Urban,1-3,North
323,156027101,85.20779609353276,138,79.98985507246378,444.0,Best customers,Over Weight,3000 - 3999,Malay,Teens Aches,Urban,4,North
324,156040101,89.50593471044428,140,55.24785714285712,343.0,Loyalists,Obese,3000 - 3999,Malay,Teens Aches,Urban,4,North
325,156046101,150.89175465172883,136,29.283088235294116,241.0,At-Risk,Healthy,4000 - 4999,Chinese,Matured Families,Urban,1-3,North
326,156049101,80.7978498267804,91,15.080219780219782,431.0,Low-Spending Loyalists,Healthy,2000 - 2999,Chinese,Empty Nesters,Urban,1-3,North
327,156051101,87.81400108459273,119,47.29663865546217,433.0,Best customers,Healthy,>5000,Chinese,Matured Families,Urban,1-3,North
328,156053101,95.71006271877133,123,49.06585365853662,333.0,Loyalists,Under Weight,< 1500,Malay,Empty Nesters,Urban,1-3,North
329,156055101,215.99931412676582,71,13.432394366197183,221.0,Churned,Under Weight,< 1500,Chinese,Empty Nesters,Urban,1-3,North
330,156056101,80.7978498267804,154,59.35584415584414,443.0,Best customers,Healthy,>5000,Chinese,Teens Aches,Urban,5,North
331,156057101,96.56888778555216,154,64.74805194805192,344.0,Loyalists,Healthy,2000 - 2999,Chinese,Matured Families,Urban,1-3,North
332,156068101,95.2694106940282,131,69.2992366412214,344.0,Loyalists,Over Weight,4000 - 4999,Malay,Nesting Families,Urban,6,North
333,156071101,103.72362517259121,75,66.02533333333335,324.0,Potential Loyalists,Over Weight,2000 - 2999,Others,Empty Nesters,Urban,1-3,North
334,156076101,127.36222462087268,140,42.02428571428572,242.0,At-Risk,Healthy,4000 - 4999,Malay,Teens Aches,Urban,4,North
335,156078101,91.50832535950651,145,32.98896551724138,342.0,Low-Spending Loyalists,Under Weight,4000 - 4999,Malay,Teens Aches,Urban,5,North
336,156079101,92.86951291951968,105,27.97142857142857,331.0,Potential Loyalists,Healthy,3000 - 3999,Malay,Teens Aches,Urban,5,North
337,156081101,80.7978498267804,136,42.18676470588235,442.0,Low-Spending Loyalists,Healthy,>5000,Chinese,Teens Aches,Urban,4,North
338,156084101,89.2031717453565,141,65.15177304964537,344.0,Loyalists,Under Weight,>5000,Chinese,Empty Nesters,Urban,1-3,North
339,156085101,1118.9519346272828,4,27.575000000000003,111.0,Lost,Over Weight,2000 - 2999,Chinese,Matured Families,Urban,1-3,North
340,156091101,103.35448289491322,43,29.08837209302325,321.0,New customers,Healthy,>5000,Chinese,Teens Aches,Urban,1-3,North
341,156092101,224.89048168024024,128,55.65390624999998,243.0,Potential Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,5,North
342,156097101,143.54485924869965,56,44.88214285714288,222.0,At-Risk,Under Weight,4000 - 4999,Chinese,Matured Families,Urban,4,North
343,156098101,94.82775807701344,109,30.27155963302753,331.0,Potential Loyalists,Over Weight,>5000,Malay,Teens Aches,Urban,1-3,North
344,156104101,80.7978498267804,138,35.072463768115924,442.0,Low-Spending Loyalists,Over Weight,>5000,Malay,Matured Families,Urban,1-3,North
345,156105101,85.20779609353276,156,52.501282051282026,443.0,Best customers,Healthy,4000 - 4999,Chinese,Empty Nesters,Urban,1-3,North
